ANIMAL_ID,SIRE_ID,DAM_ID
010000000004287311M,*,*
010000000004613711M,*,*
010000000004702911M,*,*
010000000005486111M,*,*
010000000007101911M,*,*
010000000007781511M,*,*
010000000010627511M,*,*
010000000015387711M,*,*
010000000016217111M,*,*
010000000016219711M,*,*
010000000016226511M,*,*
010000000017097311M,*,*
010000000017397111M,*,*
010000000019653911M,*,*
200000000028798511M,*,*
200000000029399311M,*,*
640000000020309311M,*,*
640000000020666211M,*,*
640000000021848911M,*,*
640000000023637011M,*,*
640000000023713611M,640000000019827611M,640000000074315311F
640000000024859811M,*,*
640000000025664511M,*,*
640000000026007611M,*,*
640000000026224111M,*,*
640000000026916211M,*,*
640000000027268511M,*,*
640000000028305411M,*,*
650000000130603511M,640000000019899811M,*
650000000134289611M,*,*
010000000002153311M,*,*
010000000003416311M,*,*
010000000004497511M,*,*
010000000004648911M,*,*
010000000004655111M,*,*
010000000005333311M,*,*
010000000006221511M,*,*
010000000006812511M,*,*
010000000006923311M,*,*
010000000008305711M,*,*
010000000009089111M,*,*
010000000009730511M,*,*
010000000009731511M,*,*
010000000016223511M,*,*
010000000016224911M,*,*
010000000022314911M,*,*
200000000029683111M,*,*
640000000019827611M,*,*
640000000021374911M,*,*
640000000023181611M,*,*
640000000023958311M,*,*
640000000024181611M,*,*
DUMMYHUK1721M,650000000210329711M,010000000871717511F
DUMMYHUK2378M,650000000228954811M,010000000871717511F
010000000942494211F,640000000032809811M,010000000871717011F
DUMMYHUK2018M,600000002014002611M,010000000871717011F
DUMMYHUK1879F,630000079054553211M,010000000874846211F
DUMMYHUK2410M,630000031641972111M,010000000874846211F
DUMMYHUK2053M,630000082987787411M,010000000874846211F
DUMMYHUK1878F,640000000033757811M,010000000880109211F
DUMMYHUK1733M,630000032082524211M,010000000897698611F
DUMMYHUK1874M,640000000033757811M,010000000898968611F
DUMMYHUK2240F,630000083938054611M,010000000936283211F
DUMMYHUK1959M,630000079054553211M,010000000938499711F
640000000120890511F,640000000024404411M,640000000068586521F
200000000073507611F,010000000010013311M,010000000049966611F
200000000090801411F,010000000016215711M,200000000068841811F
010000000042094411F,640000000015914611M,640000000044575211F
640000000353713311F,650000000162939111M,650000000791094511F
200000000038816111M,200000000028909711M,200000000258842211F
200000000021571011F,010000000003416311M,010000000011555411F
200000000045286811F,200000000007585311M,200000000025561411F
200000000273764811F,200000000031279511M,200000000234866611F
650000000385429711F,650000000094380211M,650000000261353311F
640000000333586911F,640000000034704511M,640000000257102411F
640000000127770311F,640000000022580611M,640000000062194611F
200000000030250411F,010000000004648911M,200000000024215811F
200000000035625011F,200000000005190111M,200000000028772611F
200000000039724311M,200000000031622911M,200000000272793011F
DUMMYHUK264F,DUMMYHUK4M,*
DUMMYHUK122F,DUMMYHUK1M,*
DUMMYHUK133F,DUMMYHUK22M,*
010000000395852211F,640000000029403311M,200000000262794811F
010000000938498611F,640000000032950111M,010000000871716811F
DUMMYHUK1965M,010000000046116511M,010000000871716811F
010000000917149611F,630000077532851411M,010000000871717511F
010000000944271711F,630000032082524211M,010000000874846211F
DUMMYHUK1527M,630000077532851411M,010000000874846211F
DUMMYHUK1787M,DUMMYHUK83M,010000000898967311F
DUMMYHUK2116M,650000000218300711M,010000000879888811F
010000000942494111F,630000032082524211M,010000000879888811F
010000001024969011F,630000011031407311M,010000000879888811F
DUMMYHUK2227M,120000000000411811M,010000000898968611F
DUMMYHUK2424M,650000000210329711M,010000000898968611F
DUMMYHUK2396F,720000111503103811M,010000000917151411F
DUMMYHUK2241M,120000000000411811M,010000000917151411F
DUMMYHUK2090M,650000000218300711M,010000000949850011F
010000000063052611M,010000000059817211M,010000001073720211F
DUMMYHUK1851M,650000000202004911M,010000000878347611F
DUMMYHUK1726M,630000077665452811M,010000000878347611F
DUMMYHUK2215M,630000083137519511M,010000000885920411F
DUMMYHUK1716M,640000000033877811M,010000000898831311F
DUMMYHUK2592M,DUMMYHUK7M,010000000960267411F
DUMMYHUK2747M,650000001715473711M,010000001063535711F
DUMMYHUK2244M,120000000000411811M,010000000905265411F
DUMMYHUK2334M,720000111503103811M,010000000938499511F
010000001003419711F,120000000000298411M,010000000938499511F
DUMMYHUK2313M,630000083938054611M,010000000962372111F
DUMMYHUK4299M,DUMMYHUK15M,010000001143985411F
010000001083941011F,010000000058144511M,010000000982468611F
DUMMYHUK209F,200000000025344511M,*
DUMMYHUK251F,200000000033417111M,*
DUMMYHUK144F,DUMMYHUK80M,*
DUMMYHUK2242M,630000083137519511M,010000000874845511F
DUMMYHUK2209F,650000000225721211M,010000000874846211F
010000000968695011F,630000079054553211M,010000000879888811F
DUMMYHUK2015M,640000000037650411M,010000000897698911F
010000000966696511F,650000000210329711M,010000000922947111F
DUMMYHUK2990M,630000026598823311M,010000001008849111F
DUMMYHUK2551M,650000000218827211M,010000001008849111F
DUMMYHUK1561M,630000031834081011M,010000000878347611F
DUMMYHUK2690M,650000000218827211M,010000000960267411F
DUMMYHUK2678M,010000000058798411M,010000001007443711F
010000001155977811F,710000569200023211M,010000001063535711F
DUMMYHUK3244M,600000034721383611M,010000001112790911F
DUMMYHUK4590F,DUMMYHUK50M,010000001244447511F
010000001181908411F,600000034721383611M,010000001143985411F
010000001033813111F,650000000228954811M,010000000973521211F
DUMMYHUK2512M,*,010000000973521211F
010000000448636211F,640000000029421311M,200000000312151211F
010000000960268511F,640000000032809811M,010000000871717411F
DUMMYHUK1987M,600000101116469011M,010000000887262411F
DUMMYHUK2336M,630000011031407311M,010000000914994611F
DUMMYHUK1883M,650000000210329711M,010000000921211611F
010000001030220311F,120000000000391511M,010000000942494311F
010000001005268211F,120000000000298411M,010000000954727311F
