animalRecoded,sireRecoded,damRecoded
1,NULL,NULL
2,565,7868
3,4094,3807
4,NULL,NULL
5,8869,8727
6,7438,5066
7,6651,6500
8,NULL,NULL
9,NULL,NULL
10,10112,5477
11,NULL,NULL
12,825,6587
13,3615,1633
14,7322,8519
15,1722,9021
16,361,7272
17,1463,3600
18,NULL,NULL
19,2061,4572
20,2526,10840
21,6221,9848
22,NULL,1246
23,NULL,NULL
24,10251,793
25,5357,8854
26,5510,1148
27,1463,9569
28,6326,9016
29,4131,1334
30,3253,5808
31,1254,3188
32,6735,1627
33,5083,3794
34,7332,1814
35,5750,3424
36,7291,8818
37,3225,10966
38,5088,NULL
39,2526,7597
40,746,3129
41,3191,10819
42,6557,8070
43,7084,7663
44,NULL,NULL
45,8983,2361
46,NULL,NULL
47,8826,8012
48,2746,5554
49,5255,5226
50,1853,692
51,6429,9391
52,7353,258
53,5537,9029
54,6058,NULL
55,212,4746
56,6006,3559
58,NULL,NULL
59,7848,6512
60,3216,718
61,6735,2420
62,NULL,NULL
63,166,10202
64,990,5059
65,181,1635
66,10582,3944
67,7280,5125
69,3593,6684
70,456,8408
71,8858,8980
72,6462,5070
73,1781,56
74,9398,5791
75,6332,7502
76,1843,7119
77,1519,NULL
78,2579,1063
79,6149,10790
80,5550,7440
81,5535,9597
82,10885,6722
83,7256,8755
84,375,600
85,4110,508
86,4213,5202
87,3628,6218
88,7848,8372
89,3627,10450
90,7332,10742
91,2280,5689
92,7788,5560
93,2014,493
94,3563,9280
95,1273,4143
96,7227,NULL
97,8947,76
98,4992,10841
99,9398,3392
100,6462,NULL
101,8357,4379
102,8322,9401
103,3842,84
104,140,3834
105,297,9037
106,8947,8637
107,532,6005
108,7825,9038
109,6464,2335
110,375,9985
111,5282,95
112,3680,793
113,7438,1826
114,5221,2880
115,4624,8904
116,8826,NULL
117,6592,3178
118,7848,7140
119,NULL,NULL
120,241,10544
121,1892,2293
122,8659,NULL
123,5083,7201
124,140,6751
125,5235,2298
126,6221,7608
127,3934,5098
128,2746,4594
129,480,3117
130,5282,4723
131,NULL,NULL
132,825,5477
133,8593,1563
134,2061,6788
135,3680,9001
136,5262,2453
137,8593,10645
138,6333,3639
139,2726,7216
140,8936,979
141,7659,9361
142,7673,6974
143,9607,8649
144,361,4381
145,10027,1435
146,NULL,NULL
147,3216,5765
148,10251,8722
149,4110,1000
150,4853,7471
151,8664,7637
152,10689,5945
153,8701,2165
154,2526,810
155,1527,6143
156,2653,6128
157,NULL,NULL
158,1527,8727
159,4110,2249
160,9984,3205
161,494,7103
162,1752,10614
163,140,10412
164,NULL,6504
165,8264,10695
166,NULL,NULL
167,531,9879
168,10288,10048
169,5116,4941
170,7848,6849
171,7132,918
172,NULL,NULL
173,1353,2211
174,2360,7413
175,8947,10800
176,6833,7785
177,7976,6170
178,6653,9110
179,4131,8054
180,456,6350
181,746,2557
182,9074,9219
183,5987,8510
184,717,10409
185,4205,2146
186,8445,7996
187,191,7712
188,2932,4898
189,191,5046
190,7121,1462
191,1932,251
193,746,8940
194,3680,10646
195,9607,4755
196,7593,7556
197,1706,7979
198,2932,4971
199,3704,8202
200,2280,6120
201,7848,3926
202,10867,9095
203,9009,5462
204,10079,10266
205,3934,2349
206,2499,3367
207,4644,7608
208,5282,8065
209,5129,10663
210,10711,3397
211,6324,6722
212,1339,7320
213,5550,9686
214,5750,9509
215,8925,3466
216,8307,3005
217,5116,5314
218,494,10631
219,5536,2329
220,833,5477
221,6872,433
222,9982,4952
223,1527,8767
224,2964,5468
225,9404,7952
226,5451,4632
227,361,8576
228,NULL,NULL
229,10112,4711
230,10112,8481
231,3882,3994
232,456,4901
233,NULL,NULL
234,6848,7060
235,2526,10649
236,9711,7195
237,4482,2725
238,NULL,NULL
239,6735,3595
240,4719,547
241,2526,9600
242,4213,4151
243,NULL,NULL
244,6735,306
245,2964,5466
246,6326,4767
247,192,8671
248,6462,2270
249,3216,8481
250,10691,2850
251,9487,2118
252,5632,2163
253,NULL,NULL
254,NULL,NULL
255,6100,8957
256,4193,7484
257,10835,4767
258,7927,5073
259,10525,7456
260,8865,5292
261,7825,7785
262,4966,NULL
263,10867,3926
264,7848,7598
265,NULL,NULL
266,5083,1252
267,NULL,NULL
268,339,3570
269,922,2288
270,7659,5177
271,215,4473
272,9330,5899
273,NULL,NULL
274,833,2421
275,6780,10979
276,531,10376
277,10280,8495
278,4415,10047
279,7976,7854
280,NULL,NULL
281,1584,698
282,7322,9677
283,10941,8406
284,7438,1052
285,NULL,NULL
286,NULL,NULL
287,NULL,NULL
288,140,735
289,140,4630
290,2788,10724
291,10251,6356
292,10711,2201
293,949,4568
294,10428,7150
295,6006,3107
296,7825,4675
297,9706,2852
298,3703,9103
299,990,3389
300,4214,4037
301,1039,625
302,3671,2298
303,6221,10776
304,NULL,NULL
305,192,3389
306,5987,3008
307,717,6885
308,7796,6453
309,8865,10336
310,2932,17
311,4021,4681
312,327,224
313,5221,1895
314,5870,1510
315,361,3388
316,2653,3362
317,7848,10120
318,2893,8439
319,6651,10698
320,6380,1052
321,2012,NULL
322,738,5894
323,7490,NULL
324,5510,8637
325,192,2079
326,833,8077
327,5991,10991
328,10107,9118
329,494,3392
330,6326,5618
331,NULL,3244
332,3130,2067
333,9345,7617
334,532,2896
335,8800,5821
336,7848,9888
337,1721,5485
338,2033,NULL
339,6462,6219
340,9442,2429
341,4456,10662
342,3498,6627
343,NULL,NULL
344,5987,3907
345,5221,7649
346,5282,777
347,NULL,3770
348,9355,7130
349,8438,3241
350,717,211
351,NULL,NULL
352,8826,8039
353,3750,7005
354,749,4154
355,6691,10774
356,3698,5621
357,NULL,NULL
358,3216,9528
359,5283,4028
360,7788,9824
361,5260,2664
362,4456,2159
363,2097,2784
364,949,2404
365,8548,5474
366,7848,3528
367,7825,8326
368,2204,3241
369,5325,NULL
370,1603,5840
371,8664,4841
372,8664,5685
373,456,6662
374,7848,9301
375,2025,10904
376,10194,9402
377,10107,10261
378,NULL,NULL
379,746,4518
380,NULL,NULL
381,10941,5741
382,5537,10919
383,3574,4273
384,7089,8807
385,1396,4416
386,4195,10922
387,4992,6778
388,NULL,NULL
389,10993,10678
390,3574,4807
391,8792,NULL
392,2526,10949
393,4195,9483
394,746,934
395,181,5442
396,860,4460
397,8800,3687
398,NULL,NULL
399,NULL,NULL
400,1103,2226
401,749,814
402,2526,2533
403,NULL,NULL
404,1852,2941
405,NULL,NULL
406,9607,2349
407,5750,3737
408,2499,9419
409,2837,8387
410,9442,7456
411,7848,9683
412,376,6782
413,5822,8429
414,10323,8133
415,5064,NULL
416,3628,8220
417,1039,6128
418,NULL,NULL
419,5510,2008
420,8821,3889
421,10428,9539
422,5283,9621
423,1039,318
424,3216,8411
425,922,2445
426,NULL,NULL
427,442,7098
428,1603,8573
429,3502,10523
430,6335,6001
431,8947,9214
432,7332,10621
433,7848,4407
434,8593,4941
435,10221,NULL
436,361,10789
437,9827,3863
438,494,586
439,3563,5875
440,4489,871
441,NULL,NULL
442,1241,9519
443,4624,2944
444,NULL,NULL
445,6943,6185
446,5715,2707
447,641,4911
448,746,9464
449,7109,298
450,216,6530
451,4195,9352
452,NULL,NULL
453,NULL,4423
454,4016,8721
455,7976,7854
456,676,5423
457,9984,4413
458,1843,9202
459,456,6218
460,6206,2075
461,9984,10760
462,3136,8899
463,1870,289
464,7353,7893
465,5235,2888
466,8865,4385
467,10835,8125
468,215,1849
469,NULL,NULL
470,1123,10426
471,4851,182
472,3704,2459
473,8821,1857
474,NULL,NULL
475,5987,3506
476,825,9268
477,9743,9924
478,3896,831
479,NULL,NULL
480,8531,7328
481,9060,3390
482,2792,1618
483,3865,9416
484,3216,10320
485,NULL,NULL
486,1752,1488
487,3153,8854
488,6848,6994
489,2882,10668
490,5537,3487
491,9442,8490
492,4195,4620
493,3465,1219
494,8184,10853
495,6221,9499
496,1431,9228
497,10055,1811
498,NULL,NULL
499,5987,6266
500,3574,1160
501,NULL,NULL
502,6574,5174
503,NULL,NULL
504,1781,4322
505,676,8499
506,6326,6018
507,7825,5851
508,2526,3821
509,7874,8914
510,2438,1630
511,1843,558
512,297,9700
513,5987,5619
514,5571,770
515,10194,4512
516,3153,8764
517,8892,1506
518,2438,7212
519,1339,387
520,8123,6123
521,216,2841
522,860,7237
523,2998,283
524,2746,5952
525,9619,3660
526,7659,8851
527,717,2050
528,361,1950
529,857,10059
530,1527,382
531,8943,5663
532,2473,5831
533,4951,8573
534,3882,6426
535,6324,5133
536,6324,1325
537,834,1171
538,3385,1442
539,NULL,NULL
540,6190,1461
541,5083,3159
542,3253,9419
543,5283,5508
544,5636,4043
545,3054,265
546,89,9556
547,1338,5198
548,3253,4971
549,6499,887
550,3842,1689
551,NULL,NULL
552,565,1178
553,4214,4631
554,NULL,NULL
555,NULL,NULL
556,1982,1358
557,6221,7123
558,6326,8225
559,7935,5786
560,2438,6549
561,2157,2875
562,6380,9477
563,5785,501
564,2746,3129
566,9984,8372
567,212,5244
568,4195,10519
569,5750,5132
570,4535,10046
571,10924,3065
572,7332,124
573,376,5655
574,3671,6701
575,7673,4343
576,NULL,NULL
577,10037,431
578,10835,6162
579,5550,7605
580,NULL,NULL
581,1896,8645
582,5537,6070
583,1752,5791
584,5221,6443
585,9984,1508
586,212,553
587,2932,5023
588,NULL,NULL
589,565,6535
590,10492,10975
591,2157,5391
592,738,6236
593,6221,10102
594,NULL,NULL
595,NULL,NULL
596,1017,8153
597,1123,569
598,8865,4376
599,8548,8257
600,1095,7264
601,NULL,NULL
602,4195,5505
603,NULL,NULL
604,7604,1054
605,NULL,NULL
606,2322,3144
607,NULL,NULL
608,NULL,NULL
609,2910,3380
610,2044,1198
611,NULL,8207
612,8548,2287
613,5980,3299
614,5636,4172
615,3723,NULL
616,922,6587
617,6499,8921
618,7796,182
619,6833,1360
620,1304,9286
621,1254,2682
622,8858,1004
623,4094,10505
624,8869,3735
625,5537,99
626,7077,2059
627,NULL,NULL
628,6833,504
629,6833,10649
630,5262,8070
631,212,8764
632,339,773
633,1039,10953
634,8821,2761
635,5750,NULL
636,2173,7731
637,10575,6906
638,7848,3561
639,10280,7007
640,NULL,NULL
641,NULL,NULL
642,7604,6249
643,7604,10549
644,8947,7885
645,7604,5057
646,6462,5024
647,6558,938
648,1752,3360
649,7796,2740
650,3882,6128
651,6653,4381
652,5979,388
653,10835,1122
654,7848,7925
655,361,3690
656,NULL,NULL
657,10428,9539
658,5636,6945
659,8858,1045
660,4851,1508
661,8858,9483
662,1688,7119
663,6221,10153
