EAR_TAG,sampleDate,ExtractionID,qPCR_Plate,qPCR_RunDate,qPCR_Row,TelomereLength,IntegrityGel_score,ANIMAL_ID,GENETIC_GROUP,FEED_GROUP,DOB,YearS_DOB,BirthYear,TEL_sampleNO,AGE_D,AGE_W,AGE_M,AGE_Group,VarianceGroup,AGE_Y
103065,25/09/2008,378,5,05/11/2015,C,1.288303424,1,010000001160217211F,C,1,18/09/2008,20081,2008,1,7,1,0,1,1,0
103079,20/10/2008,1223,20,17/12/2015,E,0.977479729,1,010000001158277111F,C,1,15/10/2008,20082,2008,1,5,1,0,1,1,0
103086,03/11/2008,295,4,02/11/2015,A,0.966846357,1,010000001159337011F,C,2,27/10/2008,20082,2008,1,7,1,0,1,1,0
103093,11/11/2008,933,15,14/12/2015,C,0.979519952,1,010000001159823611F,C,1,07/11/2008,20082,2008,1,4,1,0,1,1,0
103163,16/12/2008,522,8,06/11/2015,A,1.022809374,1,010000001161642911F,C,NULL,13/12/2008,20082,2008,1,3,0,0,1,1,0
103170,09/01/2009,1179,19,16/12/2015,C,1.261980804,1,010000001162680111F,C,2,26/12/2008,20082,2008,1,14,2,0,1,1,0
103240,20/02/2009,617,9,06/11/2015,C,1.311376074,1,010000001164774111F,C,1,12/02/2009,20092,2009,1,8,1,0,1,1,0
103247,20/02/2009,982,16,15/12/2015,D,1.171616704,1,010000001164863611F,S,2,16/02/2009,20092,2009,1,4,1,0,1,1,0
103275,02/04/2009,1395,23,18/12/2015,E,0.990482222,1,010000001166574111F,S,2,21/03/2009,20092,2009,1,12,2,0,1,1,0
103359,01/06/2009,144,2,02/11/2015,E,1.134757836,1,010000001169705311F,C,NULL,27/05/2009,20091,2009,1,5,1,0,1,1,0
103394,01/06/2009,789,12,12/12/2015,B,1.433448268,1,010000001169749511F,C,NULL,27/05/2009,20091,2009,1,5,1,0,1,1,0
103408,11/06/2009,1158,19,16/12/2015,H,1.241571754,1,010000001169923511F,C,2,06/06/2009,20091,2009,1,5,1,0,1,1,0
103429,13/07/2009,597,9,06/11/2015,G,1.084711844,1,010000001170969411F,C,1,29/06/2009,20091,2009,1,14,2,0,1,1,0
103499,28/09/2009,769,12,12/12/2015,F,0.987973744,1,010000001175982011F,C,2,19/09/2009,20091,2009,1,9,1,0,1,1,0
103506,19/08/2009,836,13,14/12/2015,H,1.67389742,1,010000001173439711F,S,2,10/08/2009,20091,2009,1,9,1,0,1,1,0
103576,06/11/2009,662,10,14/12/2015,H,1.192026337,1,010000001178300911F,C,NULL,01/11/2009,20092,2009,1,5,1,0,1,1,0
103583,17/11/2009,1382,23,18/12/2015,H,1.28716529,2,010000001178938511F,C,1,14/11/2009,20092,2009,1,3,0,0,1,1,0
103590,03/12/2009,198,24,04/01/2016,G,1.374126714,1,010000001180096811F,S,2,27/11/2009,20092,2009,1,6,1,0,1,1,0
103660,18/12/2009,1133,18,16/12/2015,A,1.405218459,1,010000001180979311F,C,1,15/12/2009,20092,2009,1,3,0,0,1,1,0
103681,18/01/2010,559,8,06/11/2015,B,1.632860185,1,010000001182392911F,C,NULL,12/01/2010,20102,2010,1,6,1,0,1,1,0
103737,16/02/2010,798,13,14/12/2015,B,1.364716674,1,DUMMYHUK3381F,C,NULL,12/02/2010,20102,2010,1,4,1,0,1,1,0
103744,26/02/2010,1229,20,17/12/2015,C,1.448428168,1,010000001184168611F,S,1,20/02/2010,20102,2010,1,6,1,0,1,1,0
103751,08/03/2010,170,2,02/11/2015,G,1.090485925,1,010000001184422211F,C,NULL,27/02/2010,20102,2010,1,9,1,0,1,1,0
103772,05/04/2010,102,1,22/10/2015,E,1.071915349,1,010000001186192411F,C,1,02/04/2010,20101,2010,1,3,0,0,1,1,0
103772,08/04/2010,546,8,06/11/2015,G,1.266363268,1,010000001186192411F,C,1,02/04/2010,20101,2010,2,6,1,0,1,1,0
103814,29/04/2010,681,11,12/12/2015,B,1.363798163,2,010000001187215711F,S,2,26/04/2010,20101,2010,1,3,0,0,1,1,0
103821,06/05/2010,458,7,05/11/2015,B,1.100308031,1,010000001187608011F,C,1,01/05/2010,20101,2010,1,5,1,0,1,1,0
103996,04/10/2010,1013,16,15/12/2015,D,1.08347403,1,010000001195361011F,C,NULL,28/09/2010,20101,2010,1,6,1,0,1,1,0
104031,15/10/2010,833,13,14/12/2015,E,1.276306651,1,010000001196008911F,S,2,11/10/2010,20102,2010,1,4,1,0,1,1,0
104066,25/11/2010,517,8,06/11/2015,D,0.9015392,1,010000001199001611F,C,1,20/11/2010,20102,2010,1,5,1,0,1,1,0
104073,10/12/2010,486,7,05/11/2015,F,1.006144032,1,010000001199548211F,C,1,06/12/2010,20102,2010,1,4,1,0,1,1,0
104115,21/12/2010,193,24,04/01/2016,B,1.392137648,1,010000001200047911F,C,1,17/12/2010,20102,2010,1,4,1,0,1,1,0
104136,21/01/2011,76,1,22/10/2015,C,1.342904476,1,010000001201484311F,S,1,11/01/2011,20112,2011,1,10,1,0,1,1,0
104192,22/02/2011,1185,19,16/12/2015,A,1.091655495,1,010000001203315611F,C,1,17/02/2011,20112,2011,1,5,1,0,1,1,0
104206,22/03/2011,562,8,06/11/2015,E,1.084562002,1,010000001204499111F,S,2,14/03/2011,20112,2011,1,8,1,0,1,1,0
104213,22/03/2011,328,4,02/11/2015,A,0.947963877,1,010000001204632911F,S,2,17/03/2011,20112,2011,1,5,1,0,1,1,0
104220,05/04/2011,784,12,12/12/2015,E,1.132660717,1,010000001205415711F,C,2,31/03/2011,20112,2011,1,5,1,0,1,1,0
104262,20/04/2011,1115,18,16/12/2015,G,1.302749259,1,010000001206183611F,C,2,15/04/2011,20111,2011,1,5,1,0,1,1,0
104290,30/05/2011,757,12,12/12/2015,B,1.177938614,1,010000001207666711F,C,2,24/05/2011,20111,2011,1,6,1,0,1,1,0
104353,08/07/2011,850,13,14/12/2015,D,1.321845124,1,010000001209437311F,C,2,03/07/2011,20111,2011,1,5,1,0,1,1,0
104402,16/08/2011,1370,22,17/12/2015,E,1.378445305,1,DUMMYHUK3669F,S,NULL,04/08/2011,20111,2011,1,12,2,0,1,1,0
104465,23/09/2011,1363,22,17/12/2015,F,0.864816233,1,DUMMYHUK3694F,C,NULL,15/09/2011,20111,2011,1,8,1,0,1,1,0
104675,01/03/2012,614,9,06/11/2015,H,0.874939528,1,DUMMYHUK3793F,C,NULL,22/02/2012,20122,2012,1,8,1,0,1,1,0
104717,16/05/2012,165,2,02/11/2015,C,1.381319408,1,010000001226908811F,S,1,11/05/2012,20121,2012,1,5,1,0,1,1,0
104752,01/03/2012,889,14,11/12/2015,C,1.071373497,1,DUMMYHUK3794F,C,NULL,24/02/2012,20122,2012,1,6,1,0,1,1,0
104843,10/07/2012,216,24,04/01/2016,G,1.183001656,1,DUMMYHUK3862F,S,NULL,04/07/2012,20121,2012,1,6,1,0,1,1,0
104997,15/10/2012,815,13,14/12/2015,B,1.344632301,1,DUMMYHUK3948F,S,1,06/10/2012,20122,2012,1,9,1,0,1,1,0
105158,13/02/2013,717,11,12/12/2015,D,1.479905169,2,DUMMYHUK4020F,S,NULL,12/02/2013,20132,2013,1,1,0,0,1,1,0
203080,20/10/2008,459,7,05/11/2015,C,0.986416193,1,010000001158277611F,S,1,16/10/2008,20082,2008,1,4,1,0,1,1,0
203087,03/11/2008,1059,17,15/12/2015,H,1.342424993,1,010000001159337611F,C,2,29/10/2008,20082,2008,1,5,1,0,1,1,0
203206,12/01/2009,1302,21,17/12/2015,D,0.973016167,1,010000001162682911F,S,1,02/01/2009,20092,2009,1,10,1,0,1,1,0
203234,09/02/2009,1135,18,16/12/2015,C,1.333481872,1,010000001164773611F,S,1,08/02/2009,20092,2009,1,1,0,0,1,1,0
203241,20/02/2009,946,15,14/12/2015,A,1.305019533,1,010000001164862811F,S,2,12/02/2009,20092,2009,1,8,1,0,1,1,0
